dateandtime,Gas_Flow,Almaty,Kyzylorda,Astana,Atyrau,Oskemen
05.01.2018 16:00,5921.97,-10,-2.8,-12.5,-8.2,-20.8
05.01.2018 17:00,5943.17,-10.06,-2.9,-12.3,-8,-20.7
05.01.2018 18:00,5938.97,-10.11,-3,-12.1,-7.7,-20.7
05.01.2018 19:00,5998.5,-10.17,-3.1,-11.8,-7.5,-20.6
05.01.2018 20:00,6009.48,-10.22,-3.2,-11.6,-7.3,-20.6
05.01.2018 21:00,6048.64,-10.28,-3.3,-11.4,-7,-20.5
05.01.2018 22:00,6041.6,-10.33,-3.4,-11.2,-6.8,-20.5
05.01.2018 23:00,6046.72,-10.39,-3.5,-11,-6.5,-20.4
06.01.2018 0:00,6050.79,-10.44,-3.6,-10.8,-6.3,-20.3
06.01.2018 1:00,6025.61,-10.5,-3.7,-10.5,-6.1,-20.3
06.01.2018 2:00,6046.86,-10.56,-3.8,-10.3,-5.8,-20.2
06.01.2018 3:00,6064.24,-10.61,-3.9,-10.1,-5.6,-20.2
06.01.2018 4:00,6097.29,-10.67,-4,-9.9,-5.4,-20.1
06.01.2018 5:00,6111.43,-10.72,-4.1,-9.7,-5.1,-20.1
06.01.2018 6:00,6125.35,-10.78,-4.2,-9.5,-4.9,-20
06.01.2018 7:00,6126.14,-10.83,-4.3,-9.2,-4.7,-20
06.01.2018 8:00,6134.1,-10.89,-4.4,-9,-4.4,-19.9
06.01.2018 9:00,6153.9,-10.94,-4.5,-8.8,-4.2,-19.8
06.01.2018 10:00,6143.55,-11,-4.6,-8.6,-4,-19.8
06.01.2018 11:00,6120.51,-10.93,-4.7,-8.4,-3.7,-19.7
06.01.2018 12:00,6090.66,-10.86,-4.8,-8.2,-3.5,-19.7
06.01.2018 13:00,6046.24,-10.79,-4.9,-7.9,-3.2,-19.6
06.01.2018 14:00,5996.38,-10.71,-5,-7.7,-3,-19.6
06.01.2018 15:00,5979.77,-10.64,-5.1,-7.5,-2.8,-19.5
06.01.2018 16:00,5965.65,-10.57,-5,-7.6,-2.5,-19.4
06.01.2018 17:00,5960.26,-10.5,-5,-7.7,-2.3,-19.3
06.01.2018 18:00,5985.63,-10.43,-4.9,-7.8,-2.3,-19.1
06.01.2018 19:00,6028.44,-10.36,-4.9,-7.9,-2.3,-19
06.01.2018 20:00,6015.86,-10.29,-4.8,-8,-2.3,-18.9
06.01.2018 21:00,6065.02,-10.21,-4.8,-8.1,-2.3,-18.8
06.01.2018 22:00,6094.56,-10.14,-4.7,-8.2,-2.3,-18.6
06.01.2018 23:00,6088.17,-10.07,-4.7,-8.3,-2.3,-18.5
07.01.2018 0:00,6081.08,-10,-4.6,-8.4,-2.3,-18.4
07.01.2018 1:00,6095.05,-9.92,-4.6,-8.5,-2.3,-18.3
07.01.2018 2:00,6087.65,-9.83,-4.5,-8.6,-2.3,-18.1
07.01.2018 3:00,6085.42,-9.75,-4.5,-8.7,-2.3,-18
07.01.2018 4:00,6093.98,-9.67,-4.4,-8.8,-2.3,-17.9
07.01.2018 5:00,6124.31,-9.58,-4.3,-8.9,-2.3,-17.8
07.01.2018 6:00,6126.72,-9.5,-4.3,-9,-2.3,-17.6
07.01.2018 7:00,6148.36,-9.42,-4.2,-9.1,-2.3,-17.5
07.01.2018 8:00,6159.64,-9.33,-4.2,-9.2,-2.3,-17.4
07.01.2018 9:00,6202.45,-9.25,-4.1,-9.3,-2.3,-17.3
07.01.2018 10:00,6203.03,-9.17,-4.1,-9.4,-2.3,-17.1
07.01.2018 11:00,6184.09,-9.08,-4,-9.5,-2.3,-17
07.01.2018 12:00,5814.66,-9,-4,-9.6,-2.3,-16.9
07.01.2018 13:00,5844.87,-8.92,-3.9,-9.7,-2.3,-16.8
07.01.2018 14:00,5822.27,-8.83,-3.9,-9.8,-2.3,-16.6
07.01.2018 15:00,5809.14,-8.75,-3.8,-9.9,-2.3,-16.5
07.01.2018 16:00,5807.09,-8.67,-3.6,-10.1,-2.3,-16.4
07.01.2018 17:00,5795.73,-8.58,-3.4,-10.3,-2.3,-16.2
07.01.2018 18:00,5949.74,-8.5,-3.2,-10.4,-2.2,-16.1
07.01.2018 19:00,5997.03,-8.42,-3,-10.6,-2,-15.9
07.01.2018 20:00,6028.82,-8.33,-2.8,-10.8,-1.9,-15.8
07.01.2018 21:00,6050.52,-8.25,-2.7,-11,-1.8,-15.7
07.01.2018 22:00,6059.19,-8.17,-2.5,-11.2,-1.6,-15.5
07.01.2018 23:00,6118.06,-8.08,-2.3,-11.3,-1.5,-15.4
08.01.2018 0:00,6134.05,-8,-2.1,-11.5,-1.4,-15.2
08.01.2018 1:00,6047.25,-7.75,-1.9,-11.7,-1.2,-15.1
08.01.2018 2:00,5979.21,-7.5,-1.7,-11.9,-1.1,-14.9
08.01.2018 3:00,6026.12,-7.25,-1.5,-12.1,-1,-14.8
08.01.2018 4:00,6012.35,-7,-1.3,-12.2,-0.8,-14.7
08.01.2018 5:00,6005.92,-6.75,-1.1,-12.4,-0.7,-14.5
08.01.2018 6:00,6001.62,-6.5,-0.9,-12.6,-0.6,-14.4
08.01.2018 7:00,5950.58,-6.25,-0.7,-12.8,-0.4,-14.2
08.01.2018 8:00,5936.48,-6,-0.5,-12.9,-0.3,-14.1
08.01.2018 9:00,5921.2,-5.75,-0.4,-13.1,-0.2,-14
08.01.2018 10:00,5876.26,-5.5,-0.2,-13.3,0,-13.8
08.01.2018 11:00,5848.11,-5.25,0,-13.5,0.1,-13.7
08.01.2018 12:00,5799.62,-5,0.2,-13.7,0.2,-13.5
08.01.2018 13:00,5765.33,-4.75,0.4,-13.8,0.4,-13.4
08.01.2018 14:00,5677.96,-4.5,0.6,-14,0.5,-13.2
08.01.2018 15:00,5706.63,-4.25,0.8,-14.2,0.6,-13.1
08.01.2018 16:00,5755.04,-4,0.8,-13.8,0.8,-12.8
08.01.2018 17:00,5741.98,-3.75,0.8,-13.5,0.9,-12.5
08.01.2018 18:00,5743.95,-3.5,0.8,-13.1,0.8,-12.1
08.01.2018 19:00,5781.49,-3.25,0.8,-12.8,0.7,-11.8
08.01.2018 20:00,5790.62,-3,0.8,-12.4,0.7,-11.5
08.01.2018 21:00,5801.74,-2.75,0.8,-12,0.6,-11.2
08.01.2018 22:00,5815.51,-2.5,0.8,-11.7,0.5,-10.9
08.01.2018 23:00,5814.54,-2.25,0.8,-11.3,0.4,-10.5
09.01.2018 0:00,5843.85,-2,0.8,-10.9,0.3,-10.2
09.01.2018 1:00,5857.76,-2.08,0.8,-10.6,0.3,-9.9
09.01.2018 2:00,5853.92,-2.17,0.8,-10.2,0.2,-9.6
09.01.2018 3:00,5867.02,-2.25,0.8,-9.9,0.1,-9.3
09.01.2018 4:00,5851.3,-2.33,0.7,-9.5,0,-8.9
09.01.2018 5:00,5843.68,-2.42,0.7,-9.1,0,-8.6
