N,EGT,WF,Status
90.1169,1372.01,6146.15,0
90.1253,1369.44,6146.15,0
90.0491,1366.86,6134.62,0
90.083,1370.79,6146.15,0
90.0745,1371.91,6134.62,0
90.0491,1372.74,6146.15,0
90.0068,1369.55,6138.46,0
90.0068,1368.32,6126.92,0
89.9983,1372.65,6126.92,0
89.9644,1369.44,6130.77,0
89.9644,1372.18,6119.23,0
89.9644,1371.04,6138.46,0
89.9729,1371.1,6126.92,0
89.9475,1373.9,6126.92,0
89.9136,1370.22,6115.38,0
89.9221,1372.64,6123.08,0
89.8882,1367.21,6115.38,0
89.9136,1370.26,6119.23,0
89.9475,1371.76,6130.77,0
89.8882,1366.51,6111.54,0
89.8713,1369.33,6123.08,0
89.8713,1370.14,6103.85,0
89.8543,1367.39,6115.38,0
89.8035,1373.04,6119.23,0
89.8289,1370.04,6123.08,0
89.8205,1373.64,6103.85,0
89.7951,1370.19,6103.85,0
89.8035,1372.34,6103.85,0
89.7781,1367.44,6107.69,0
89.7358,1372.44,6103.85,0
89.7781,1368.32,6103.85,0
89.7696,1372.83,6111.54,0
89.7696,1371.4,6103.85,0
89.7781,1367.13,6107.69,0
89.7781,1373.08,6103.85,0
89.8205,1371.49,6107.69,0
89.7866,1371.74,6115.38,0
89.81200000000001,1368.12,6107.69,0
89.7951,1372.29,6107.69,0
89.8035,1369.19,6111.54,0
89.8205,1371.15,6115.38,0
89.8205,1372.79,6119.23,0
89.8205,1368.55,6111.54,0
89.81200000000001,1369.19,6111.54,0
89.7866,1372.19,6123.08,0
89.8374,1369.42,6107.69,0
89.8289,1374.24,6115.38,0
89.7696,1374.23,6119.23,0
89.81200000000001,1370.25,6111.54,0
89.8035,1371.05,6115.38,0
89.8035,1370.71,6123.08,0
89.8289,1372.45,6126.92,0
89.8205,1366.54,6126.92,0
89.8374,1372.71,6123.08,0
89.8628,1366.41,6138.46,0
89.9136,1368.58,6134.62,0
89.8882,1368.37,6150.0,0
89.956,1371.26,6142.31,0
89.9644,1366.74,6150.0,0
89.9983,1372.38,6157.69,0
89.9898,1368.69,6153.85,0
90.0322,1369.39,6161.54,0
90.0322,1373.32,6165.38,0
90.0068,1373.33,6161.54,0
90.0491,1370.77,6165.38,0
90.0661,1366.46,6165.38,0
90.0576,1367.91,6169.23,0
90.0576,1371.6,6161.54,0
90.0661,1373.22,6173.08,0
90.0406,1367.42,6169.23,0
90.0745,1367.74,6173.08,0
90.0745,1370.71,6173.08,0
90.0576,1369.0,6157.69,0
90.0491,1371.49,6169.23,0
90.083,1370.68,6173.08,0
90.0745,1369.38,6169.23,0
90.0915,1372.66,6165.38,0
90.0745,1369.94,6165.38,0
90.083,1369.94,6165.38,0
90.0576,1370.35,6173.08,0
90.0915,1369.61,6157.69,0
90.0406,1368.54,6161.54,0
90.0576,1368.59,6176.92,0
90.0661,1370.45,6169.23,0
90.0661,1369.84,6165.38,0
90.0576,1369.03,6165.38,0
90.0322,1371.96,6142.31,0
90.0152,1373.67,6161.54,0
90.0661,1370.93,6146.15,0
90.0237,1367.03,6157.69,0
90.0322,1370.53,6161.54,0
90.0152,1371.41,6161.54,0
90.0237,1367.97,6161.54,0
90.0152,1366.48,6153.85,0
89.9983,1371.94,6161.54,0
90.0068,1366.74,6150.0,0
89.9983,1371.21,6150.0,0
90.0237,1367.01,6153.85,0
89.83877021,1367.618,6047.9704950000005,2
89.62020623,1367.9360000000001,6044.191458,2
89.3681074,1373.724,6044.191458,2
89.18347651,1369.5320000000002,6044.191458,2
89.04086342,1369.5,6044.191458,2
88.87301614,1367.7979999999998,6044.191458,2
88.72180368,1375.546,6051.739716,2
88.56212493,1372.0739999999998,6044.191458,2
88.38577804,1371.082,6044.191458,2
88.20109776,1375.52,6036.6432,2
88.04140102,1370.7179999999998,6029.094942000001,2
87.85673739,1373.766,6029.094942000001,2
87.68039051,1373.224,6032.864163,2
87.45463758,1373.5720000000001,6032.864163,2
87.27839026,1372.35,6029.094942000001,2
87.11037638,1373.9579999999999,6036.6432,2
86.91767885,1374.836,6025.3159049999995,2
86.76595208,1375.194,6025.3159049999995,2
86.54076343,1371.4520000000002,6021.546684,2
86.27513208,1375.31,6021.546684,2
86.05847887,1371.878,6017.767647,2
85.88256358,1377.536,6025.3159049999995,2
85.7147651,1372.614,6029.094942000001,2
85.55493818,1371.9720000000002,6017.767647,2
85.3870566,1371.56,6021.546684,2
85.45143929999999,1378.65,5829.17216,2
85.43536740000002,1374.98,5840.15824,2
85.4272839,1377.66,5847.47912,2
85.411212,1374.47,5840.15824,2
85.41929549999999,1376.8,5829.17216,2
85.45143929999999,1371.94,5829.17216,2
85.4676063,1372.51,5843.8139200000005,2
85.4434509,1377.86,5836.49304,2
85.45143929999999,1379.99,5829.17216,2
85.45143929999999,1372.05,5836.49304,2
85.4836782,1376.75,5840.15824,2
85.4755947,1373.08,5829.17216,2
85.49176170000001,1375.45,5832.82784,2
85.49984520000001,1376.41,5843.8139200000005,2
85.49176170000001,1374.73,5829.17216,2
85.49176170000001,1377.1,5836.49304,2
85.50783359999998,1372.89,5847.47912,2
85.4676063,1374.04,5836.49304,2
85.50783359999998,1376.75,5843.8139200000005,2
85.50783359999998,1378.16,5832.82784,2
85.49984520000001,1372.78,5840.15824,2
85.5159171,1377.74,5836.49304,2
85.5159171,1375.41,5821.84176,2
85.50783359999998,1375.76,5836.49304,2
85.49176170000001,1378.09,5840.15824,2
85.5159171,1377.7,5832.82784,2
85.50783359999998,1374.19,5840.15824,2
85.4595228,1376.48,5836.49304,2
85.4836782,1378.01,5843.8139200000005,2
85.4755947,1372.93,5832.82784,2
85.4836782,1374.77,5832.82784,2
85.4755947,1372.97,5840.15824,2
85.4676063,1377.21,5829.17216,2
85.49984520000001,1375.44,5843.8139200000005,2
85.50783359999998,1375.74,5843.8139200000005,2
85.49176170000001,1374.63,5836.49304,2
85.4676063,1372.98,5836.49304,2
85.49984520000001,1372.98,5836.49304,2
85.49176170000001,1376.11,5832.82784,2
85.49984520000001,1375.54,5843.8139200000005,2
85.5240006,1373.25,5836.49304,2
85.5240006,1375.59,5840.15824,2
85.5159171,1374.45,5836.49304,2
85.50783359999998,1372.85,5829.17216,2
85.548156,1373.4,5847.47912,2
85.5240006,1378.18,5843.8139200000005,2
85.5400725,1375.98,5851.1348,2
85.5802998,1376.92,5847.47912,2
85.548156,1372.89,5851.1348,2
85.5723114,1376.3,5847.47912,2
85.70026458,1374.5720000000001,5873.943645,2
85.94117664,1374.424,5874.736016,2
86.08513507,1371.1760000000002,5893.911376,2
86.27776558,1376.5279999999998,5905.7267679999995,2
86.47853344,1369.35,5906.445296,2
86.66303395,1375.7920000000001,5929.357552,2
86.81495986,1374.3339999999998,5933.739056,2
86.98321975,1372.6860000000001,5949.264,2
87.19232333,1373.358,5964.803728,2
87.35234998,1374.18,5969.14088,2
87.52047989,1371.612,5984.688,2
87.68039051,1370.274,5992.742096,2
87.8980425,1372.246,6012.065296,2
88.04140102,1368.4579999999999,6012.5844130000005,2
88.24266672,1375.82,6035.69608,2
88.40237993,1372.5420000000001,6039.944528,2
88.58712666,1368.774,6059.326864,2
88.75513994,1369.826,6067.344,2
88.9148187,1373.9379999999999,6075.3463520000005,2
89.13305104,1370.66,6094.77304,2
89.26751246,1370.3120000000001,6110.3989409999995,2
89.48591062,1371.944,6118.403824,2
89.62020623,1367.806,6130.2192159999995,2
89.81341999,1371.7379999999998,6142.034608,2
89.9729,1368.99,6142.31,2
89.9729,1371.01,6153.85,0
89.956,1368.6,6153.85,0
89.9475,1371.81,6157.69,0
89.9729,1370.58,6146.15,0
89.9983,1371.31,6150.0,0
89.9983,1372.38,6161.54,0
89.9898,1371.27,6153.85,0
89.9898,1371.69,6153.85,0
90.0322,1371.16,6146.15,0
90.0491,1366.06,6150.0,0
90.0068,1368.57,6150.0,0
90.0237,1371.55,6153.85,0
90.0068,1366.7,6161.54,0
90.0322,1371.25,6157.69,0
90.0237,1369.43,6146.15,0
90.0068,1369.73,6150.0,0
90.0322,1372.4,6153.85,0
90.0322,1370.85,6153.85,0
90.0745,1372.77,6165.38,0
90.0661,1368.35,6157.69,0
90.0576,1371.53,6165.38,0
90.0999,1370.66,6169.23,0
90.083,1370.75,6173.08,0
90.1423,1373.26,6173.08,0
90.1169,1369.8,6173.08,0
90.1423,1367.71,6173.08,0
90.1846,1370.02,6176.92,0
90.1931,1373.24,6180.77,0
90.1931,1366.36,6176.92,0
90.21,1369.33,6180.77,0
90.2185,1369.67,6200.0,0
90.21,1372.77,6180.77,0
90.2524,1368.6,6188.46,0
90.2439,1369.06,6200.0,0
90.2778,1368.68,6188.46,0
90.2608,1370.28,6192.31,0
90.2608,1370.35,6203.85,0
90.2778,1370.26,6192.31,0
90.2354,1367.81,6200.0,0
90.2608,1368.83,6192.31,0
90.2947,1371.02,6184.62,0
90.2524,1372.71,6192.31,0
90.2947,1368.58,6200.0,0
90.2778,1370.04,6188.46,0
90.2778,1369.5,6184.62,0
